Experiment: 90_10, bias=0, data= 1 
fair_disc for iter 0 is: l2:0.0031112698372207804, l1:0.0043999999999999595, kl:9.68003123431654e-06, ce:9.680093703612336e-06 
fair_disc_exp for iter 0 is: l2:0.0024944841861724854, l1:0.0024944841861724854, kl:-0.0024882378417030587, ce:1.251888005715518e-05 
fair_disc for iter 1 is: l2:0.0011313708498985084, l1:0.0016000000000000458, kl:1.2800005461327882e-06, ce:1.2800016383485158e-06 
fair_disc_exp for iter 1 is: l2:0.000626683235168457, l1:0.000626683235168457, kl:0.0006270798296191118, ce:9.853812931170935e-07 
fair_disc for iter 2 is: l2:0.007495331880577403, l1:0.010599999999999998, kl:5.618105211134712e-05, ce:5.6183156428857295e-05 
fair_disc_exp for iter 2 is: l2:0.005046248435974121, l1:0.005046248435974121, kl:-0.005020691458721091, ce:5.135130612832217e-05 
fair_disc for iter 3 is: l2:0.0014142135623730963, l1:0.0020000000000000018, kl:2.0000013333215227e-06, ce:2.0000040000800468e-06 
fair_disc_exp for iter 3 is: l2:0.0014515519142150879, l1:0.0014515519142150879, kl:-0.0014494486798819766, ce:4.293439078151273e-06 
fair_disc for iter 4 is: l2:0.007636753236814696, l1:0.010799999999999976, kl:5.832113379361948e-05, ce:5.832340148692605e-05 
fair_disc_exp for iter 4 is: l2:0.004282712936401367, l1:0.004282712936401367, kl:0.004300999989822139, ce:3.662895886880069e-05 

Experiment: 90_10, bias=1, data= 1 
fair_disc for iter 0 is: l2:0.5506947611880831, l1:0.7787999999999999, kl:0.3453792346722915, ce:0.46637451483977654 
fair_disc_exp for iter 0 is: l2:0.37995487451553345, l1:0.37995487451553345, kl:0.4974055136995214, ce:0.4307048488828419 
fair_disc for iter 1 is: l2:0.5491391262694728, l1:0.7766, kl:0.3430922776163176, ce:0.4620449834967867 
fair_disc_exp for iter 1 is: l2:0.37656980752944946, l1:0.37656980752944946, kl:0.49211352131425, ce:0.41874005090920907 
fair_disc for iter 2 is: l2:0.5470178059259132, l1:0.7736000000000001, kl:0.3399933324046127, ce:0.4562202766665723 
fair_disc_exp for iter 2 is: l2:0.3750925660133362, l1:0.3750925660133362, kl:0.4898081869418208, ce:0.4136346076103924 
fair_disc for iter 3 is: l2:0.5480077554195744, l1:0.7749999999999999, kl:0.34143670171055573, ce:0.45892722692516885 
fair_disc_exp for iter 3 is: l2:0.378476083278656, l1:0.378476083278656, kl:0.49509206545122, ce:0.4254284743639706 
fair_disc for iter 4 is: l2:0.5465935418572012, l1:0.7729999999999999, kl:0.33937624133678734, ce:0.4550661172043319 
fair_disc_exp for iter 4 is: l2:0.37676095962524414, l1:0.37676095962524414, kl:0.4924119991932282, ce:0.4194033910009144 


Experiment: 80_20, bias=1, data= 1 
